year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2024,35,"KN/DAV/2024/35/2140 | Karnataka | Davangere | Acute
Diarrheal
Disease | 86 | 0 | 29-08-2024 | 31-08-2024 | Under
Surveil",lepto_cholera,2140,35th 2024.pdf,8
2024,35,"KN/DAV/2024/35/2141 | Karnataka | Davangere | Acute
Diarrheal
Disease | 30 | 0 | 24-08-2024 | 26-08-2024 | Under
Control",lepto_cholera,2141,35th 2024.pdf,8
2024,35,"KN/MND/2024/35/2143 | Karnataka | Mandya | Acute
Diarrheal
Disease | 27 | 1 | 27-08-2024 | Under
Surveillance | Cases we",lepto_cholera,2143,35th 2024.pdf,9
2024,35,"KN/TUM/2024/35/2144 | Karnataka | Tumakuru | Acute
Diarrheal
Disease | 41 | 1 | 27-08-2024 | Under
Surveillance | Cases ",lepto_cholera,2144,35th 2024.pdf,9
2023,36,"KN/UTK/2024/36/2205 | Karnataka | Uttar Kannad | Acute
Diarrheal
Disease | 91 | 1 | 02-09-2024 | 02-09-2024 | Under
Surv",lepto_cholera,2205,36th 2023.pdf,8
2024,36,"KN/UTK/2024/36/2205 | Karnataka | Uttar Kannad | Acute
Diarrheal
Disease | 91 | 1 | 02-09-2024 | 02-09-2024 | Under
Surv",lepto_cholera,2205,36th 2024.pdf,8
2023,37,"KN/BEL/2023/37/1222 | Karnataka | Ballari | Acute
Diarrheal
Disease | 43 | 0 | 16-09-23 | 16-09-23 | Under
Surveillance ",lepto_cholera,2023,37th 2023.pdf,9
2024,37,"KN/MYS/2024/37/2276 | Karnataka | Mysuru | Acute
Diarrheal
Diseases | 90 | 2 | 11-09-2024 | Under
Control | Cases were r",lepto_cholera,2276,37th 2024.pdf,9
2023,38,"KN/DVA/2023/37/1278 | Karnataka | Davangere | Acute
Diarrheal
Disease | 25 | 0 | 21-09-23 | 21-09-23 | Under
Control | C",lepto_cholera,2023,38th 2023.pdf,10
2023,38,"KN/RCR/2023/37/1279 | Karnataka | Raichur | Dengue | 15 | 0 | 20-09-23 | 21-09-23 | Under
Surveillance | Cases were repo",dengue_malaria,2023,38th 2023.pdf,10
2023,39,"KN/BEL/2023/39/1323 | Karnataka | Ballari | Mumps | 12 | 0 | 29-09-23 | 30-09-23 | Under
Control | Cases reported from G",respiratory,2023,39th 2023.pdf,9
2023,39,"Bangalore, all 12 samples were found to be | 39th 2023.pdf | 9",other,12,39th 2023.pdf,9
2023,39,PHI Bangalore for investigation. District RRT | 39th 2023.pdf | 10,other,2023,39th 2023.pdf,10
2023,39,"KN/DVA/2023/39/1325 | Karnataka | Davangere | Human
Rabies | 1 | 1 | 24-09-23 | 27-09-23 | Under
Surveillance | Case rep",other,2023,39th 2023.pdf,10
2023,39,"KN/GUL/2023/39/1327 | Karnataka | Kalaburagi | Mumps | 10 | 0 | 25-09-23 | Under
Surveillance | Cases reported from Kawa",other,2023,39th 2023.pdf,11
2023,39,"serum samples were sent to BMCRI Bangalore, | 39th 2023.pdf | 11",other,2023,39th 2023.pdf,11
2023,39,"KN/TUM/2023/39/1329 | Karnataka | Tumakuru | Acute
Diarrheal
Disease | 46 | 0 | 25-09-23 | 27-09-23 | Under
Control | Ca",lepto_cholera,2023,39th 2023.pdf,12
2023,39,"KN/CMN/2023/39/1346 | Karnataka | Chamarajanag
ar | Leptospirosis | 1 | 1 | 16-09-23 | Under
Control | Case reported fro",lepto_cholera,2023,39th 2023.pdf,19
2024,39,"KN/RIC/2024/39/2384 | Karnataka | Raichur | Food
Poisoning | 14 | 0 | 25-09-2024 | Under
Control | Cases were reported f",other,2384,39th 2024.pdf,7
2023,40,"KN/BAU/2023/40/1368 | Karnataka | Bengaluru
Rural | Fever | 27 | 0 | 04-10-23 | 04-10-23 | Under
Surveillance | Cases we",other,2023,40th 2023.pdf,7
2023,40,"Sub-District Hosakote, District Bengaluru. | 40th 2023.pdf | 7",other,2023,40th 2023.pdf,7
2023,40,"KN/UDU/2023/40/1370 | Karnataka | Udupi | Acute
Diarrheal
Disease | 5 | 0 | 06-10-23 | 07-10-23 | Under
Control | Cases ",lepto_cholera,2023,40th 2023.pdf,8
2023,40,"KN/KRW/2023/40/1371 | Karnataka | Uttar Kannad | Leptospirosis | 3 | 1 | 03-10-23 | 03-10-23 | Under
Surveillance | Case",lepto_cholera,2023,40th 2023.pdf,8
2024,40,"KN/BGR/2024/40/2440 | Karnataka | Bengaluru Rural | Food
Poisoning | 17 | 0 | 03-10-2024 | Under
Control | Cases were re",other,2440,40th 2024.pdf,10
2024,40,"Dodda Ballapur, District: Bengaluru Rural. | 40th 2024.pdf | 10",other,2024,40th 2024.pdf,10
2024,40,"KN/UDP/2024/40/2442 | Karnataka | Udupi | Dysentery | 35 | 0 | 03-10-2024 | Under
Control | Total 3 water samples were s",other,3,40th 2024.pdf,11
